Year,Projection,Mean,10-90th Percentile Range (low),10-90th Percentile Range (high)
2089,SSP1-1.9,21.71,20.63,22.61
2090,SSP1-1.9,21.72,20.64,22.59
2091,SSP1-1.9,21.74,20.65,22.57
2092,SSP1-1.9,21.78,20.66,22.54
2093,SSP1-1.9,21.81,20.66,22.52
2094,SSP1-1.9,21.83,20.64,22.5
2095,SSP1-1.9,21.84,20.61,22.49
2096,SSP1-1.9,21.83,20.56,22.48
2097,SSP1-1.9,21.8,20.5,22.48
2098,SSP1-1.9,21.76,20.42,22.48
2099,SSP1-1.9,21.72,20.35,22.48
2100,SSP1-1.9,21.66,20.26,22.49
2014,SSP1-2.6,21.16,20.53,21.73
2015,SSP1-2.6,21.19,20.42,21.74
2016,SSP1-2.6,21.19,20.42,21.83
2017,SSP1-2.6,21.2,20.43,21.92
2018,SSP1-2.6,21.22,20.44,22.01
2019,SSP1-2.6,21.24,20.46,22.08
2020,SSP1-2.6,21.28,20.48,22.15
2021,SSP1-2.6,21.33,20.52,22.19
2022,SSP1-2.6,21.39,20.56,22.23
2023,SSP1-2.6,21.46,20.61,22.25
2024,SSP1-2.6,21.52,20.65,22.27
2025,SSP1-2.6,21.58,20.68,22.29
2026,SSP1-2.6,21.61,20.69,22.32
2027,SSP1-2.6,21.63,20.69,22.36
2028,SSP1-2.6,21.64,20.69,22.4
2029,SSP1-2.6,21.64,20.69,22.45
2030,SSP1-2.6,21.65,20.7,22.49
2031,SSP1-2.6,21.67,20.74,22.53
2032,SSP1-2.6,21.71,20.81,22.57
2033,SSP1-2.6,21.76,20.89,22.6
2034,SSP1-2.6,21.81,20.97,22.63
2035,SSP1-2.6,21.86,21.04,22.65
2036,SSP1-2.6,21.9,21.07,22.68
2037,SSP1-2.6,21.93,21.06,22.71
2038,SSP1-2.6,21.94,21.02,22.74
2039,SSP1-2.6,21.94,20.96,22.77
2040,SSP1-2.6,21.95,20.9,22.81
2041,SSP1-2.6,21.96,20.88,22.86
2042,SSP1-2.6,21.99,20.9,22.9
2043,SSP1-2.6,22.03,20.98,22.96
2044,SSP1-2.6,22.08,21.09,23.01
2045,SSP1-2.6,22.14,21.2,23.06
2046,SSP1-2.6,22.18,21.31,23.1
2047,SSP1-2.6,22.21,21.37,23.13
2048,SSP1-2.6,22.22,21.38,23.15
2049,SSP1-2.6,22.21,21.36,23.16
2050,SSP1-2.6,22.2,21.32,23.15
2051,SSP1-2.6,22.19,21.27,23.14
2052,SSP1-2.6,22.19,21.24,23.13
2053,SSP1-2.6,22.2,21.23,23.12
2054,SSP1-2.6,22.23,21.25,23.11
2055,SSP1-2.6,22.26,21.29,23.1
2056,SSP1-2.6,22.3,21.32,23.1
2057,SSP1-2.6,22.32,21.35,23.11
2058,SSP1-2.6,22.34,21.36,23.12
2059,SSP1-2.6,22.34,21.35,23.15
